	prompt
1788	"Translate following English dialogue to Hindi.
Source Sentence:
On April 2, 2020, Dagens Eko reported that COVID-19 had spread significantly in retirement homes in at least 90 municipalities.
Target:
2 अप्रैल, 2020 में डागेन्स एको ने खबर दी कि कम से कम 90 नगरपालिकाओं के वृद्धों के लिए आवास व्यवस्थाओं में कोविड-19 का संक्रमण काफी फैल चुका था।"
1789	"Translate following English dialogue to Hindi.
Source Sentence:
Once a virus genome becomes operational in a host cell, it then generates messenger RNA (mRNA) molecules that direct the synthesis of viral proteins.
Target:
जब एक विषाणु संजीन मेजबान कोशिका में काम करने लगता है तो वह संदेशवाहक आर.एन.ए. (एम.आर.एन.ए.) अणु उत्पन्न करता है जो विषाणु प्रोटीन के संश्लेषण का निर्देश देता है।"
1790	"Translate following English dialogue to Hindi.
Source Sentence:
For these reasons, virginity cannot be definitively determined by examining the hymen.
Target:
इन्हीं कारणों से सतीत्व का निश्चित रूप से निर्धारण योनिच्छद की जांच से नहीं किया जा सकता है।"
1791	"Translate following English dialogue to Hindi.
Source Sentence:
They argue that the theory and diagnosis of personality disorders are based strictly on social or even sociopolitical and economic considerations.
Target:
वे तर्क प्रस्तुत करते हैं कि व्यक्तित्व विकारों के बारे में धारणा और निदान पूर्ण रूप से सामाजिक या फिर सामाजिक-राजनीतिक और आर्थिक मनन पर आधारित होती है।"
1792	"Translate following English dialogue to Hindi.
Source Sentence:
Some studies have also shown a relationship between increasing body dissatisfaction and increasing SES.
Target:
कुछ अध्ययनों में शरीर के संबंध में बढ़ती असंतुष्टि और बढ़ते एस.ई.एस. के बीच संबंध दर्शाया है।"
1793	"Translate following English dialogue to Hindi.
Source Sentence:
These vaccines either contained inactivated (killed) influenza virus or weakened live virus that could not cause influenza.
Target:
इन टीकों में या तो निष्क्रिय (मृत) इंफ्लुएंजा विषाणु होता है या कमज़ोर जीवित विषाणु होता है जिससे इंफ्लुएंजा नहीं हो सकता।"
1794	"Translate following English dialogue to Hindi.
Source Sentence:
In early April 2020, Director Dr. John Nkengasong condemned remarks by two French scientists, Professors Jean-Paul Mira and Camille Locht suggesting that a potential tuberculosis vaccine for the coronavirus be tested in Africa as ""disgusting and racist"".
Target:
अप्रैल 2020 की शुरुआत में निदेशक, डॉ. जॉन एन्केंगेसॉन्ग ने दो फ्रेंच वैज्ञानिक -प्रोफेसर जॉन-पॉल मीरा और कमील लौक्ट की टिप्पणियों की निन्दा करते हुए उन टिप्पणियों को ""घृणास्पद और जातिवादी"" बताया क्योंकि इन वैज्ञानिकों ने सुझाव दिया था कि एक संभाव्य तपेदिक के टीके का कोरोनावाइरस के लिए परीक्षण अफ्रीका में किया जाए।"
1795	"Translate following English dialogue to Hindi.
Source Sentence:
Besides its Executive Office and a Science and Programme Office, the agency also has several divisions dealing with ""policy, health diplomacy, and communication,"" ""management and administration,"" ""surveillance and disease intelligence,"" ""laboratory systems and networks,"" ""emergency preparedness and response,"" and "" public health institutes and research.""
Target:
कार्यकारी कार्यालय और एक विज्ञान एवं कार्यक्रम कार्यालय के अलावा एजेन्सी के कई विभाग हैं जो ""नीति, स्वास्थ्य राजनय, और संप्रेषण,"" ""प्रबंधन और प्रशासन,"" ""आवेक्षण और रोग आसूचना,""""प्रयोगशाला प्रणालियाँ और नेटवर्क,"" ""आपात स्थिति के लिए तैयारी और प्रतिक्रिया,"" और ""सार्वजनिक स्वास्थ्य संस्थान और शोध"" पर काम करते हैं।"
1796	"Translate following English dialogue to Hindi.
Source Sentence:
The Africa CDC is based at the Africa CDC Coordinating Centre in Addis Ababa, Ethiopia, which also contains the agency's Emergency Operations Centre.
Target:
अफ्रीकी सी.डी.सी. इथियोपिया में अदीस अबाबा में स्थित अफ्रीका सी.डी.सी. समन्वय केंद्र पर आधारित है जहां पर एजेन्सी का आपातकालीन संचालन केंद्र भी है।"
1797	"Translate following English dialogue to Hindi.
Source Sentence:
The NCD Alliance brings together roughly 900 national member associations to fight non-communicable diseases.
Target:
गैर-संचारी रोगों से लड़ने के लिए एन.सी.डी. अलायंस ने लगभग 900 राष्ट्रीय सदस्य समितियों को एकजुट किया है।"
1798	"Translate following English dialogue to Hindi.
Source Sentence:
The GI tract contains all the major organs of the digestive system in humans and other animals, including the esophagus, stomach, and intestines.
Target:
मानवों और अन्य पशुओं में जठरांत्र क्षेत्र में भोजन नलिका, पेट और आंत्र सहित पाचन तंत्र के सभी मुख्य अंग होते हैं।"
1799	"Translate following English dialogue to Hindi.
Source Sentence:
The gastrointestinal tract (GI tract, digestive tract, alimentary canal) is the tract or passageway of the digestive system that leads from the mouth to the anus.
Target:
जठरांत्र क्षेत्र (जी.आई. प्रणाली, पाचन प्रणाली, आहार नली) पाचन तंत्र की प्रणाली या मार्ग है जो मुंह से शुरू होकर मलद्वार तक होता है।"
1800	"Translate following English dialogue to Hindi.
Source Sentence:
For example, the low pH (ranging from 1 to 4) of the stomach is fatal for many microorganisms that enter it.
Target:
उदाहरण के लिए, पेट का कम पीएच (1 से 4 के बीच) विभिन्न सूक्ष्मजीवों के लिए जो पेट में प्रवेश करते हैं, घातक हो सकता है ।"
1801	"Translate following English dialogue to Hindi.
Source Sentence:
Evidence-based psychotherapies for personality disorders include cognitive behavioural therapy and dialectical behaviour therapy, especially for borderline personality disorder.
Target:
व्यक्तित्व विकारों के लिए साक्ष्य-आधारित मनश्चिकित्सा में शामिल हैं संज्ञानात्मक व्यवहार उपचार और द्वंद्वात्मक व्यवहार उपचार, विशेष रूप से सीमावर्ती व्यक्तित्व विकार के मामलों में।"
1802	"Translate following English dialogue to Hindi.
Source Sentence:
The ECDC and WHO's European regional office issued guidelines for hospitals and primary healthcare services for shifting resources at multiple levels, including focusing laboratory services towards testing, canceling elective procedures, separating and isolating patients, and increasing intensive care capabilities by training personnel and increasing ventilators and beds.
Target:
ई.सी.डी.सी. और डब्ल्यू.एच.ओ. के यूरोपीय क्षेत्रीय कार्यालय ने अस्पतालों और प्राथमिक स्वास्थ्य देखभाल सेवाओं के लिए परीक्षण के लिए प्रयोगशाला सेवाओं पर ध्यान केंद्रण, चुनी गई पद्धतियों को रद्द करनाऔर कर्मियों को प्रशिक्षित करके तथा वेंटिलेटर एवं बेड की संख्या बढ़ा कर गहन देखभाल क्षमताएं बढ़ाने सहित कई स्तरों पर संसाधनों के स्थानांतरण के लिए दिशा-निर्देश जारी किए हैं।"
1803	"Translate following English dialogue to Hindi.
Source Sentence:
Physical health outcomes include Injury (from lacerations to fractures and internal organs injury), Unwanted Pregnancy, Gynaecological problems, STDs including HIV, Miscarriage, Pelvic inflammatory disease, Chronic pelvic pain, Headaches, Permanent disabilities, Asthma, Irritable bowel syndrome, Self-injurious behaviours (smoking, unprotected sex); Mental health effects can include depression, fear, anxiety, low self-esteem, sexual dysfunction, eating disorders, obsessive-compulsive disorder, or post-traumatic stress disorder.
Target:
शारीरिक स्वास्थ्य समस्याओं में चोटें (घावों से ले कर टूटी हड्डियों और आंतरिक अंगों में चोटें), अवांछित गर्भ, स्त्री रोग संबंधी समस्याएं, एच.आई.वी., गर्भपात, श्रोणि सूजन बीमारी, चिरकालिक श्रोणि दर्द, सिरदर्द, स्थायी अक्षमताएँ, अस्थमा, संवेदनशील आंत्र रोग जैसे यौन संक्रमित रोग शामिल हैं; स्व-हानिकारक व्यवहार (धूम्रपान, असुरक्षित यौन संबंध) में शामिल हैं; मानसिक स्वास्थ्य के परिणामों में अवसाद, भय, चिंता, कम आत्मसम्मान, यौन अक्षमता, खाने के विकार, जुनूनी बाध्यकारी विकार और अभिघातजन्य तनाव विकार शामिल हो सकते हैं।"
1804	"Translate following English dialogue to Hindi.
Source Sentence:
In the ensuing years, other classes of the antihypertensive drug were developed and found wide acceptance in combination therapy, including loop diuretics (Lasix/furosemide, Hoechst Pharmaceuticals, 1963), beta-blockers (ICI Pharmaceuticals, 1964) ACE inhibitors, and angiotensin receptor blockers.
Target:
आने वाले वर्षों में, रक्तचाप कम करने की अन्य वर्गों की औषधियाँ विकसित की गईं और संयुक्त उपचार में इन्हें काफी स्वीकृति प्राप्त हुई, जिसमें शामिल थीं लूप डायरूटिक्स (लैसिक्स/फ्यूरोसेमाइड, होचेस्ट फार्मास्यूटिकल्स, 1963), बीटा-ब्लॉकर (आई.सी.आई. फार्मास्यूटिकल्स, 1964) ए.सी.ई. इन्हिबिटर्स, और ऐंजियोटेंसिन रीसेप्टर ब्लॉकर्स।"
1805	"Translate following English dialogue to Hindi.
Source Sentence:
Paddy, the main food crop, is mostly cultivated in the Andaman group of islands, whereas coconut and areca nuts are the cash crops of the Nicobar group of islands.
Target:
मुख्य खाद्य फसल, धान, की खेती ज्यादातर अंडमान द्वीप समूह में की जाती है जबकि नारियल और सुपारी निकोबार द्वीप समूह की नकदी फसलें हैं।"
1806	"Translate following English dialogue to Hindi.
Source Sentence:
ATI entered the mobile computing sector by introducing 3D-graphics acceleration to laptops in 1996.
Target:
ए.टी.आई. ने 1996 में लैपटॉप में 3डी-आलेखी त्वरण का प्रयोग करके मोबाइल कम्प्यूटिंग क्षेत्र में प्रवेश किया।"
1807	"Translate following English dialogue to Hindi.
Source Sentence:
Before coal mining, Jharia had forests inhabited by tribes.
Target:
कोयले के खनन से पहले, झरिया में जंगल थे जहां आदिवासी रहते थे।"
1808	"Translate following English dialogue to Hindi.
Source Sentence:
An international cargo hub project, the Multi-modal International Cargo Hub and Airport at Nagpur, (MIHAN), has been developed.
Target:
एक अंतर्राष्ट्रीय कार्गो हब परियोजना, मल्टी-मोडल इंटरनेशनल कार्गो हब एण्ड एयरपोर्ट ऐट नागपुर (मिहान) तैयार की गई है।"
1809	"Translate following English dialogue to Hindi.
Source Sentence:
Ashok Leyland Defence Systems Ltd. (ALDS) also leverages Ashok Leyland's in-house R&D base, its collaboration with global technology leaders, and Ashok Leyland's state-of-the-art plants in India.
Target:
अशोक लेलैंड डिफेंस सिस्टम्स लिमिटेड (ए.एल.डी.एस.) कंपनी की संस्थानिक अनुसंधान और विकास क्षमताओं, प्रमुख वैश्विक प्रौद्योगिकी कंपनियों के साथ अपने सहयोग, और भारत में अशोक लेलैंड के संयंत्रों की अत्याधुनिक निर्माण सुविधाओं का लाभ उठाती है।"
1810	"Translate following English dialogue to Hindi.
Source Sentence:
Plessey Semiconductors Ltd demonstrated a monolithic monochrome blue GaN-on-silicon wafer bonded to a Jasper Display CMOS backplane 0.7-inch (18mm) active-matrix microLED display with an 8m pixel pitch.
Target:
प्लेसी सेमीकंडक्टर्स लिमिटेड ने 8 मि.मी. पिक्सेल पिच के साथ एक मोनोलिथिक मोनोक्रोमैटिक ब्लू जीएएन-ऑन-सिलिकॉन वेफर दिखाया, जिसे जैस्पर डिस्प्ले सी.एम.ओ.एस. बैकप्लेन 0.7-इंच (18 मि.मी.) सक्रिय-मैट्रिक्स माइक्रोएल.ई.डी. डिस्प्ले से जोड़ा गया था।"
1811	"Translate following English dialogue to Hindi.
Source Sentence:
The unplanned nature of growth in the city resulted in massive traffic gridlocks; a flyover system and one-way traffic systems were introduced, which were only moderately successful.
Target:
शहर के अनियोजित तरीके से बढ़ने के कारण यातायात में वाहनों का जमघट हो जाता था जिससे यातायात ठप हो जाता था; फ्लाई-ओवर प्रणाली और एकमार्गी यातायात की प्रणाली शुरू की गईं जो बस कुछ हद तक ही सफल रहीं।"
1812	"Translate following English dialogue to Hindi.
Source Sentence:
English language skills are the cornerstone of Nearshore and IT services.
Target:
अंग्रेजी भाषा में निपुणता तट के निकटवर्ती और सूचना प्रौद्योगिकी सेवाओं की आधारशिला है।"
1813	"Translate following English dialogue to Hindi.
Source Sentence:
CMDS is an airborne defensive system providing self-protection to the aircraft by passive ECM against radar-guided & IR seeking, air & ground-launched missiles.
Target:
सी.एम.डी.एस. विमानवाहित सुरक्षा प्रणाली है जो निष्क्रिय ई.सी.एम. के माध्यम से हवाई जहाज को रेडार-मार्गदर्शित और आई.आर. अनुसरण करते, हवाई और जमीनी प्रक्षेपित मिसाइलों के खिलाफ आत्म-रक्षा प्रदान करती है।"
1814	"Translate following English dialogue to Hindi.
Source Sentence:
In 2013, Egypt was the largest consumer of oil and natural gas in Africa, with more than 20% of total oil consumption and more than 40% of total dry natural gas consumption in Africa.
Target:
2013 में मिस्र अफ्रीका में तेल और प्राकृतिक गैस का सबसे बड़ा उपभोक्ता था जिसकी अफ्रीका में तेल की कुल खपत के 20% से अधिक और शुष्क प्राकृतिक गैस की कुल खपत के 40% से अधिक खपत थी।"
1815	"Translate following English dialogue to Hindi.
Source Sentence:
Following a merger process, the merger of the 5 remaining associate banks (viz., State Bank of Bikaner and Jaipur, State Bank of Hyderabad, State Bank of Mysore, State Bank of Patiala, and State Bank of Travancore) and the Bharatiya Mahila Bank with the SBI was given in principle approval by the Union Cabinet on 15 June 2016.
Target:
विलय की प्रक्रिया के चलते, बाकी 5 सहयोगी बैंक (यानी स्टेट बैंक ऑफ बीकानेर एंड जयपुर, स्टेट बैंक ऑफ हैदराबाद, स्टेट बैंक ऑफ मैसूर, स्टेट बैंक ऑफ पटियाला, और स्टेट बैंक ऑफ ट्रैवेनकोर) एवं भारतीय महिला बैंक के एस.बी.आई. में विलय को केंद्रीय कैबिनेट ने 15 जून 2016 को सैद्धान्तिक रूप से अनुमोदन दिया।"
1816	"Translate following English dialogue to Hindi.
Source Sentence:
GAIL is also an equity partner in two retail gas companies in Egypt, namely Fayum Gas Company (FGC) and National Gas Company (Natgas).
Target:
गेल भी मिस्र की दो खुदरा गैस कंपनियों, फायुम गैस कंपनी (एफ.जी.सी.) और नैशनल गैस कंपनी (नैटगैस) में इक्विटी साझेदार है।"
1817	"Translate following English dialogue to Hindi.
Source Sentence:
In 1824, Hamilton was introduced at Edgeworthstown to the novelist Maria Edgeworth by the Rev. Richard Butler, the vicar of Trim, County Meath, to whom his uncle James Hamilton was curate.
Target:
एजवर्थस्टाउन में रेवरेंड रिचर्ड बटलर, जो काउंटी मीथ में ट्रिम के पादरी थे और जहां हैमिल्टन के चाचा जेम्स हैमिल्टन उपपादरी थे, वहाँ 1824 में पादरी ने हैमिल्टन का परिचय उपन्यासकार मरिया एडवर्थ से कराया।"
1818	"Translate following English dialogue to Hindi.
Source Sentence:
Bengal Chemicals and Pharmaceuticals was set up by P.C. Ray, a professor of chemistry at Calcutta University.
Target:
कलकत्ता विश्वविद्यालय के रसायनशास्त्र के प्रोफेसर पी.सी.राय ने बंगाल केमिकल्स एण्ड फार्मास्यूटिकल्स की स्थापना की थी।"
1819	"Translate following English dialogue to Hindi.
Source Sentence:
Indian Airlines focussed on domestic routes and Air India International on international services.
Target:
इंडियन एयरलाइन्स घरेलू मार्गों पर ध्यान केंद्रित करती थी जबकि एयर इंडिया इंटर्नैशनल अंतर्राष्ट्रीय सेवाओं पर ध्यान केंद्रित करती थी।"
1820	"Translate following English dialogue to Hindi.
Source Sentence:
In other cases, the helicopter has been used solely for sensing and rocket-delivered torpedoes have been used as the weapon.
Target:
अन्य मामलों में हेलिकॉप्टर का प्रयोग केवल पता लगाने के लिए किया जाता है और यह शस्त्र के रूप में रॉकेट से प्रक्षेपित टारपीडो का प्रयोग करता है।"
1821	"Translate following English dialogue to Hindi.
Source Sentence:
In the 1980s, the Spanish firm Esperanza y Cia developed a 120-mm mortar bomb that contained 21 anti-armour submunitions.
Target:
1980 के दशक में स्पेनी फर्म एस्परांज़ा वाई सिया ने 120 मि.मी. का मोर्टार बम विकसित किया जिसमें 21 छोटी अस्त्र-विरोधी युद्धसामग्रियाँ थीं।"
1822	"Translate following English dialogue to Hindi.
Source Sentence:
According to some estimates, India has 10,600 MW of geothermal energy available.
Target:
कुछ अनुमानों के अनुसार, भारत में 10,600 मेगावॉट की भूऊष्मीय ऊर्जा उपलब्ध है।"
1823	"Translate following English dialogue to Hindi.
Source Sentence:
Inward remittances from outside India, legitimate dues in India, and transfers from other NRO accounts are permissible credits to the NRO account.
Target:
भारत के बाहर से खाते में धनराशि प्राप्त करना, भारत में वैध देय राशि और अन्य एन.आर.ओ. खातों से स्थानांतरण एन.आर.ओ. खातों में अनुमत क्रेडिट होते हैं।"
1824	"Translate following English dialogue to Hindi.
Source Sentence:
To facilitate exports, a container freight station was started at MIDC Ambad by the Central Government.
Target:
निर्यात सुगम बनाने के लिए केंद्र सरकार ने एम.आई.डी.सी. अम्बाद में मालवाहक पात्र स्टेशन शुरू किया।"
1825	"Translate following English dialogue to Hindi.
Source Sentence:
On 8 August 1984 a patent, US4575330, assigned to UVP, Inc. and later assigned to Chuck Hull of 3D Systems Corporation, was filed for a stereolithography fabrication system, in which individual laminae or layers are added by curing photopolymers with impinging radiation, particle bombardment, chemical reaction, or just ultraviolet light lasers.
Target:
8 अगस्त, 1984 को, यू.वी.पी., इंक. ने एक स्टीरियोलिथोग्राफी निर्माण प्रणाली के लिए यू.एस.4575330 के लिए एक पेटेंट आवेदन दाखिल किया, जो कि पहले 3डी सिस्टम्स कॉर्पोरेशन के चक हल को दिया गया था, जिसमें फोटोपॉलिमर के साथ अतिक्रमण करने वाले विकिरण, कण बमबारी, रासायनिक प्रतिक्रिया, या सिर्फ पराबैंगनी प्रकाश लेज़रों का संकलन करके अलग-अलग लेमिना या परतें जोड़ी जाती हैं।"
1826	"Translate following English dialogue to Hindi.
Source Sentence:
Other major industries include the manufacturing of scientific instruments, agricultural goods, electrical goods, machine tools, textiles, sewing machines, sports goods, starch, fertilizers, bicycles, garments, and the processing of pine oil and sugar.
Target:
अन्य महत्वपूर्ण उद्योगों में शामिल है वैज्ञानिक उपकरणों, कृषि उत्पाद, बिजली का सामान, मशीन के यंत्र, कपड़ा, सिलाई मशीने, खेल-कूद का सामान, माड़ी, उर्वरक, साइकिल, वस्त्र के उत्पादन एवं पाइन तेल तथा चीनी का संसाधन।"
1827	"Translate following English dialogue to Hindi.
Source Sentence:
The typical measurement when referring to power consumption in computer architecture is MIPS/W (millions of instructions per second per watt).
Target:
अभिकलित्र संरचना में ऊर्जा की खपत को मापने के लिए आम तौर पर एम.आई.पी.एस./डब्ल्यू (प्रति वॉट प्रति सेकन्ड लाखों निर्देश) का प्रयोग होता है।"
1828	"Translate following English dialogue to Hindi.
Source Sentence:
Employees' State Insurance Corporation Medical College, Hyderabad, helped RCI in prototype development, while the Postgraduate Institute of Medical Education and Research helped in the testing, validation, and acceptance of products for medical use.
Target:
कर्मचारी राज्य बीमा निगम चिकित्सा महाविद्यालय, हैदराबाद ने आर.सी.आई. को आद्यप्रारूप विकसित करने में मदद की जबकि स्नातकोत्तर चिकित्सा शिक्षा एवं अनुसंधान संस्थान ने चिकित्सा प्रयोजनों के लिए उत्पादों के परीक्षण, सत्यापन और अनुमोदन में मदद की।"
1829	"Translate following English dialogue to Hindi.
Source Sentence:
In some cases, weapons first introduced in science fiction have now been made a reality.
Target:
कुछ मामलों में, वैज्ञानिक साहित्य में पहले जिन शस्त्रों के बारे में लिखा गया था, अब उन्हें एक वास्तविकता बना दिया गया है।"
1830	"Translate following English dialogue to Hindi.
Source Sentence:
India's leading steel producer, SAIL, has a steel plant in Salem, Tamil Nadu.
Target:
भारत के अग्रणी इस्पात उत्पादक, सेल, का सालेम, तमिल नाडु में इस्पात संयंत्र है।"
1831	"Translate following English dialogue to Hindi.
Source Sentence:
In 1997 Sanyo followed with the ""POSCAP"" polymer tantalum chips.
Target:
1997 में सैन्यो ""पी.ओ.एस.सी.ए.पी."" बहुलक टैंटेलम चिप्स लाया।"
1832	"Translate following English dialogue to Hindi.
Source Sentence:
The cockpit of an aircraft is a typical location for avionic equipment, including control, monitoring, communication, navigation, weather, and anti-collision systems.
Target:
हवाई जहाज का कॉकपिट नियंत्रण, निगरानी, संप्रेषण, अनवेषण, मौसम और टक्कर-रोधी प्रणालियों सहित वैमानिकी उपकरणों का विशिष्ट स्थान है।"
1833	"Translate following English dialogue to Hindi.
Source Sentence:
There were four main proposals, and the final mix of uses will be finalised as the development progresses.
Target:
चार प्रमुख प्रस्ताव थे, और जैसे-जैसे विकास का कार्य आगे बढ़ता है, अंतिम प्रयोगों के मिश्रण पर अंतिम निर्णय लिया जाएगा।"
1834	"Translate following English dialogue to Hindi.
Source Sentence:
The Indian money market is classified into the organised sector, comprising private, public, and foreign-owned commercial banks and cooperative banks, together known as ""scheduled banks,"" and the unorganised sector, which includes individual or family-owned indigenous bankers or money lenders and non-banking financial companies.
Target:
भारतीय मुद्रा बाज़ार व्यवस्थित क्षेत्र और अव्यवस्थित क्षेत्रों में वर्गीकृत हैं, जिसमें व्यवस्थित क्षेत्र में शामिल हैं निजी, सार्वजनिक और विदेशी स्वामित्व वाले वाणिज्यिक एवं सहकारी बैंक जिनको एक साथ मिलाकर अनुसूचित बैंक भी कहा जाता है, और अव्यवस्थित क्षेत्र में एकल व्यक्ति या पारिवारिक स्वामित्व वाले स्वदेशी बैंकर या साहूकार एवं गैर-बैंकिंग वित्तीय कंपनियाँ शामिल हैं।"
1835	"Translate following English dialogue to Hindi.
Source Sentence:
The Northern grid was also interconnected in August 2006, forming a Central Grid that was synchronously connected and operating at one frequency.
Target:
अगस्त 2006 में उत्तरी ग्रिड को भी अंतर्योजित किया गया जिससे केंद्रीय ग्रिड बना जो तुल्यकालिक रूप से जोड़ा गया और एक ही आवृत्‍ति पर संचालन करता है।"
1836	"Translate following English dialogue to Hindi.
Source Sentence:
The first interconnection of regional grids was established in October 1991, when the North Eastern and Eastern grids were interconnected.
Target:
क्षेत्रीय ग्रिडों का प्रथम अंतर्योजन अक्तूबर 1991 में स्थापित किया गया था जब उत्तर-पूर्वीय और पूर्वीय ग्रिडों को अंतर्योजित किया गया था।"
1837	"Translate following English dialogue to Hindi.
Source Sentence:
The affordable retail electricity price to replace diesel would be up to 19 Rs/Kwh (860 Kcal/Kwh at 75% input electricity to shaft power efficiency versus diesel's net calorific value of 8572 Kcal/liter at 40% fuel energy to crankshaft power efficiency), and the comparable number to replace petrol would be up to 28 Rs/Kwh (860 Kcal/Kwh at 75% input electricity to shaft power efficiency versus petrol's net calorific value of 7693 Kcal/litre at 33% fuel energy to crankshaft power efficiency).
Target:
क्रैंकशाफ्ट पावर दक्षता के लिए 40% ईंधन ऊर्जा पर डीजल के शुद्ध कैलोरी मान 8572 किलोकैलोरी/लीटर की तुलना में, डीजल का स्थान लेने के लिए किफायती बिजली की कीमत 19 रुपये/किलोवाट (860 किलोकैलोरी/किलोवाट 75% निविष्ट बिजली से शाफ्ट बिजली दक्षता) तक होगी।, और पेट्रोल का स्थान लेने के लिए तुलनीय मूल्य 28 रुपये/किलोवाट (860 किलो कैलोरी/किलोवाट प्रति घंटा 75% निविष्ट बिजली पर शाफ्ट पावर दक्षता बनाम पेट्रोल का शुद्ध कैलोरी मान 7693 किलो कैलोरी/लीटर 33% ईंधन ऊर्जा से क्रैंकशाफ्ट पावर दक्षता) तक होगा।"
1838	"Translate following English dialogue to Hindi.
Source Sentence:
There are hundreds of handsets in the market, and they differ by screen size and supported technologies (e.g. MMS, WAP 2.0).
Target:
बाज़ार में सैकड़ों हैंडसेट हैं जो स्क्रीन के आकार और समर्थित तकनीकों (जैसे कि एम.एम.एस., डब्ल्यू.ए.पी. 2.0) में भिन्न हैं।"
1839	"Translate following English dialogue to Hindi.
Source Sentence:
A public-private partnership (PPP) approach is best suited for finding the resources.
Target:
संसाधनों का पता करने के लिए सार्वजनिक–निजी साझेदारी (पी.पी.पी.) दृष्टिकोण सबसे अनुकूल है।"
1840	"Translate following English dialogue to Hindi.
Source Sentence:
""From that moment,"" the 1945 report stated, ""the ordinary trade machinery could not be relied upon to feed Calcutta.""
Target:
1945 की रिपोर्ट में कहा गया, ""उस क्षण से कलकत्ता का पेट भरने के लिए सामान्य व्यापार व्यवस्था पर निर्भर नहीं किया जा सकता था।"""
1841	"Translate following English dialogue to Hindi.
Source Sentence:
In 1591, the first Cambridge Bible was printed by John Legate, and in 1629, the Cambridge folio edition of the King James Bible was printed by Thomas and John Buck.
Target:
1591 में जॉन लेगेट ने पहली केम्ब्रिज बाइबल छापी थी, और 1629 में किंग जेम्स बाइबल का केम्ब्रिज फोलियो संस्करण थॉमस और जॉन बक द्वारा छापा गया था।"
1842	"Translate following English dialogue to Hindi.
Source Sentence:
The levelised tariff of wind power reached a record low of ₹2.43 ($0.03 US) per kWh (without any direct or indirect subsidies) during auctions for wind projects in December 2017.
Target:
दिसंबर 2017 में पवन परियोजना की नीलामी के दौरान, स्तरीकृत पवन ऊर्जा शुल्क (बिना किसी प्रत्यक्ष या अप्रत्यक्ष सहायता के) 2.43 रु. ($0.03 यू.एस. डॉलर) प्रति किलोवाट प्रति घंटे के निम्नतम स्तर पर पहुंच गया।"
1843	"Translate following English dialogue to Hindi.
Source Sentence:
Between 1972 and 1975, cupro-nickel replaced nickel in the 25 paise, 50 paise and the 1 rupee coins; in 1982, cupro-nickel two rupee coins were introduced.
Target:
1972 और 1975 के बीच 25 पैसे, 50 पैसे और 1 रुपये के सिक्कों में गिलट की जगह ताम्रनिकल ने ले ली; 1982 में ताम्रनिकल के दो रुपये के सिक्के सामने लाए गए।"
1844	"Translate following English dialogue to Hindi.
Source Sentence:
Dembowski wrote about it in his book, ""Taking the State to the Supreme Court: Public Interest Litigation and the Public Sphere in Metropolitan India,"" which was originally published by Oxford University Press in 2001.
Target:
डेम्बोव्स्की ने अपनी लिखी और पहली बार 2001 में ऑक्सफोर्ड यूनिवर्सिटी प्रेस द्वारा जारी की गई पुस्तक ""टेकिंग द स्टेट टू द सुप्रीम कोर्ट: पब्लिक इंटरेस्ट लिटिगेशन एंड द पब्लिक स्फियर इन मेट्रोपॉलिटन इंडिया"", में इस विषय के बारे में लिखा।"
1845	"Translate following English dialogue to Hindi.
Source Sentence:
A protected person may not have anything done ""of such a character as to cause physical suffering or extermination.""
Target:
संरक्षित व्यक्ति ने शायद ""ऐसी प्रकृति का कुछ न किया हो जिससे शारीरिक यातना हो या संहार हो।"""
1846	"Translate following English dialogue to Hindi.
Source Sentence:
Article 28 states that even when a village is captured through war, pillaging is not allowed by any party.
Target:
अनुच्छेद 28 में कहा गया है कि युद्ध के दौरान किसी गांव पर कब्जा करने के बाद भी किसी भी पक्ष को लूट-मार करने की अनुमति नहीं है।"
1847	"Translate following English dialogue to Hindi.
Source Sentence:
Article 8 of the Convention stresses parties' commitment to raising awareness to foster respect for rights and dignity to counter disability discrimination.
Target:
सम्मेलन का अनुच्छेद 8 विकलांगता भेद-भाव का विरोध करने के लिए अधिकारों और गरिमा के प्रति सम्मान को बढ़ावा देने हेतु जागरूकता बढ़ाने के प्रति दलों की प्रतिबद्धता पर बल देता है।"
1848	"Translate following English dialogue to Hindi.
Source Sentence:
Parliament has the exclusive power to make laws on matters falling under the Federal List (such as citizenship, defence, internal security, civil and criminal law, finance, trade, commerce and industry, education, labour, and tourism), whereas each State, through its Legislative Assembly, has legislative power over matters falling under the State List (such as land, local government, Syariah law and Syariah courts, State holidays and State public works).
Target:
संसद को संघीय सूची (जैसे नागरिकता, रक्षा, आंतरिक सुरक्षा, नागरिक और आपराधिक कानून, वित्त, व्यापार, वाणिज्य और उद्योग, शिक्षा, श्रम और पर्यटन) के अंतर्गत आने वाले मामलों पर कानून बनाने का विशेष अधिकार है, जबकि प्रत्येक राज्य, अपनी विधान सभा के माध्यम से, राज्य सूची के अंतर्गत आने वाले मामलों पर विधायी अधिकार रखता है, (जैसे भूमि, स्थानीय सरकार, शरीया कानून और शरीया अदालतें, राज्य अवकाश और राज्य सार्वजनिक कार्य)।"
